Subject,Word_Type,Trial_2bins,RTc_Outlier,ACC,Error
5,Unstudied-mixed,2nd Half,605.9,0.975609756097561,0.024390243902439025
5,Unstudied-pure,1st Half,573.0632911392405,1.0,0.0
5,Unstudied-pure,2nd Half,601.0632911392405,0.9875,0.0125
6,Studied-mixed,1st Half,617.5833333333334,0.9473684210526315,0.05263157894736842
6,Studied-mixed,2nd Half,690.1111111111111,0.8571428571428571,0.14285714285714285
6,Unstudied-mixed,1st Half,609.8108108108108,0.9285714285714286,0.07142857142857142
6,Unstudied-mixed,2nd Half,757.8529411764706,0.8947368421052632,0.10526315789473684
6,Unstudied-pure,1st Half,548.5833333333334,0.9125,0.0875
6,Unstudied-pure,2nd Half,580.0,0.95,0.05
7,Studied-mixed,1st Half,563.0930232558139,0.9555555555555556,0.044444444444444446
7,Studied-mixed,2nd Half,697.4848484848485,0.9428571428571428,0.05714285714285714
7,Unstudied-mixed,1st Half,539.9,0.8857142857142857,0.11428571428571428
7,Unstudied-mixed,2nd Half,633.2,0.8888888888888888,0.1111111111111111
7,Unstudied-pure,1st Half,605.054794520548,0.925,0.075
7,Unstudied-pure,2nd Half,561.2533333333333,0.9375,0.0625
8,Studied-mixed,1st Half,629.4285714285714,1.0,0.0
8,Studied-mixed,2nd Half,527.6666666666666,0.972972972972973,0.02702702702702703
8,Unstudied-mixed,1st Half,593.9142857142857,0.9459459459459459,0.05405405405405406
8,Unstudied-mixed,2nd Half,582.8536585365854,0.9534883720930233,0.046511627906976744
8,Unstudied-pure,1st Half,639.7105263157895,0.9625,0.0375
8,Unstudied-pure,2nd Half,648.2597402597403,0.9625,0.0375
9,Studied-mixed,1st Half,641.4516129032259,0.8888888888888888,0.1111111111111111
9,Studied-mixed,2nd Half,804.1666666666666,0.9545454545454546,0.045454545454545456
9,Unstudied-mixed,1st Half,583.3658536585366,0.9318181818181818,0.06818181818181818
9,Unstudied-mixed,2nd Half,744.8965517241379,0.8055555555555556,0.19444444444444445
9,Unstudied-pure,1st Half,730.2857142857143,0.8875,0.1125
9,Unstudied-pure,2nd Half,798.9066666666666,0.9375,0.0625
10,Studied-mixed,1st Half,576.0,1.0,0.0
10,Studied-mixed,2nd Half,503.7837837837838,0.925,0.075
10,Unstudied-mixed,1st Half,626.025641025641,0.975,0.025
10,Unstudied-mixed,2nd Half,527.025,1.0,0.0
10,Unstudied-pure,1st Half,507.35897435897436,0.9875,0.0125
10,Unstudied-pure,2nd Half,548.8961038961039,0.9625,0.0375
11,Studied-mixed,1st Half,755.8837209302326,0.9347826086956522,0.06521739130434782
11,Studied-mixed,2nd Half,748.4411764705883,1.0,0.0
11,Unstudied-mixed,1st Half,663.2666666666667,0.9117647058823529,0.08823529411764706
11,Unstudied-mixed,2nd Half,657.6304347826087,1.0,0.0
11,Unstudied-pure,1st Half,772.0657894736842,0.9625,0.0375
11,Unstudied-pure,2nd Half,675.1139240506329,0.9875,0.0125
12,Studied-mixed,1st Half,646.6388888888889,1.0,0.0
12,Studied-mixed,2nd Half,656.9069767441861,1.0,0.0
12,Unstudied-mixed,1st Half,641.9302325581396,1.0,0.0
12,Unstudied-mixed,2nd Half,655.6388888888889,0.972972972972973,0.02702702702702703
12,Unstudied-pure,1st Half,608.2337662337662,0.975,0.025
12,Unstudied-pure,2nd Half,680.6625,1.0,0.0
13,Studied-mixed,1st Half,608.7096774193549,0.9411764705882353,0.058823529411764705
13,Studied-mixed,2nd Half,584.7674418604652,0.9347826086956522,0.06521739130434782
13,Unstudied-mixed,1st Half,628.6428571428571,0.9130434782608695,0.08695652173913043
13,Unstudied-mixed,2nd Half,605.9354838709677,0.9117647058823529,0.08823529411764706
13,Unstudied-pure,1st Half,626.8356164383562,0.925,0.075
13,Unstudied-pure,2nd Half,595.2328767123288,0.9125,0.0875
14,Studied-mixed,1st Half,649.15,0.9523809523809523,0.047619047619047616
14,Studied-mixed,2nd Half,642.8378378378378,0.9736842105263158,0.02631578947368421
14,Unstudied-mixed,1st Half,531.8055555555555,0.9736842105263158,0.02631578947368421
14,Unstudied-mixed,2nd Half,577.9,0.9523809523809523,0.047619047619047616
14,Unstudied-pure,1st Half,526.4666666666667,0.95,0.05
14,Unstudied-pure,2nd Half,527.9350649350649,0.9625,0.0375
15,Studied-mixed,1st Half,594.421052631579,0.975,0.025
